frame.len,tcp.srcport,tcp.dstport,ip.proto,tcp.len,tcp.window_size,frame.time_delta,label
4290,443,40760,6,4236,64240,0.000000235,0
1466,443,40760,6,1412,64240,0.000000168,0
2878,443,40760,6,2824,64240,0.000000116,0
54,40760,443,6,0,65535,0.000116989,0
2878,443,40760,6,2824,64240,0.000082396,0
54,40760,443,6,0,65535,0.001696712,0
4290,443,40760,6,4236,64240,0.001791382,0
2878,443,40760,6,2824,64240,0.000000669,0
4290,443,40760,6,4236,64240,0.000000151,0
54,40760,443,6,0,65535,0.000088336,0
2878,443,40760,6,2824,64240,0.000207737,0
54,40760,443,6,0,65535,0.000005898,0
5702,443,40760,6,5648,64240,-0.000005417,0
2878,443,40760,6,2824,64240,0.000000183,0
2878,443,40760,6,2824,64240,0.000194351,0
1466,443,40760,6,1412,64240,0.00000047,0
1466,443,40760,6,1412,64240,0.000000197,0
1466,443,40760,6,1412,64240,0.000000164,0
